id,title,description,availability,condition,price,link,image_link,brand
AC_da92cf6448,Onix Sedan Plus LTZ 1.0 Turbo AutomÃ¡tico Flex,Ano: 2023/2024 • 60.000 KM,in stock,used,85000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHLIJO&veiculo=onix-sedan-plus-ltz-1.0-turbo-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1358448-m.jpg?12062026145224,Onix
AC_377b41e715,Polo Comfortline 1.0 TSI AutomÃ¡tico Flex,Ano: 2024/2024 • 53.449 KM,in stock,used,92900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIIJMI&veiculo=polo-comfortline-1.0-tsi-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1365572-m.jpg?0,Polo
AC_6644dea867,Prisma Sedan LTZ 1.4 FlexPower,Ano: 2015/2015 • 124.333 KM,in stock,used,53900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIMHLH&veiculo=prisma-sedan-ltz-1.4-flexpower,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1369361-m.jpg?0,Prisma
AC_6b4855bdca,Ram 1500 Rebel Hemi CD 5.7 V8 4x4 AutomÃ¡tico,Ano: 2022/2022 • 82.311 KM,in stock,used,319000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHGJII&veiculo=ram-1500-rebel-hemi-cd-5.7-v8-4x4-automatico,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1353532-m.jpg?23052026,Ram
AC_8eb38ecc31,Ram 1500 Rebel Hemi CD 5.7 V8 4x4 AutomÃ¡tico,Ano: 2022/2022 • 40.000 KM,in stock,used,319900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGDENN&veiculo=ram-1500-rebel-hemi-cd-5.7-v8-4x4-automatico,https://www.usadofacil.com.br/fotoscarrosano/2026/04/1340087-m.jpg?08062026,Ram
AC_e0b4c58805,Ram 2500 Laramie CD 6.7 TDI 4x4 Diesel,Ano: 2020/2020 • 93.000 KM,in stock,used,319900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGELOI&veiculo=ram-2500-laramie-cd-6.7-tdi-4x4-diesel,https://www.usadofacil.com.br/fotoscarrosano/2026/04/1341792-m.jpg?10042026,Ram
AC_fcf9f34c06,Ram 3500 Laramie CD 6.7 Turbo 4x4 Diesel,Ano: 2022/2022 • 106.000 KM,in stock,used,339900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHHIIP&veiculo=ram-3500-laramie-cd-6.7-turbo-4x4-diesel,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1354439-m.jpg?29072026115912,Ram
AC_acbc54cb6a,Ram Classic Laramie Night Edition 5.7 4X4 AutomÃ¡tico,Ano: 2022/2022 • 45.000 KM,in stock,used,259900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHGJJG&veiculo=ram-classic-laramie-night-edition-5.7-4x4-automatico,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1353540-m.jpg?23052026,Ram
AC_757aa250e4,Rampage Laramie Hurricane 4 CD 2.0 Turbo 4X4 AutomÃ¡tico,Ano: 2023/2024 • 61.367 KM,in stock,used,199000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIMNKI&veiculo=rampage-laramie-hurricane-4-cd-2.0-turbo-4x4-automatico,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1369952-m.jpg?0,Rampage
AC_13e4713610,Range Rover Velar HSE R-Dyn 2.0 Si4 HÃ­brido,Ano: 2023/2023 • 36.000 KM,in stock,used,399990.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BDLMLNO&veiculo=range-rover-velar-hse-r-dyn-2.0-si4-hibrido,https://www.usadofacil.com.br/fotoscarrosano/2025/10/1299788-m.jpg?18062026115604,Range
AC_a184f963ff,RAV4 2.5 SX Connect 4x4 AutomÃ¡tico HÃ­brido,Ano: 2025/2025 • 19.879 KM,in stock,used,296000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIGMFJ&veiculo=rav4-2.5-sx-connect-4x4-automatico-hibrido,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1363803-m.jpg?01072026,RAV4
AC_9d5b0eef25,S10 LTZ CD 2.8 4x4 TDI AutomÃ¡tico Diesel,Ano: 2013/2014 • 280.497 KM,in stock,used,110900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEJDKOK&veiculo=s10-ltz-cd-2.8-4x4-tdi-automatico-diesel,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1370694-m.jpg?29072026120151,S10
AC_c156353a3e,Strada Freedom CD 1.3 Flex,Ano: 2022/2023 • 146.893 KM,in stock,used,101900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIJHKG&veiculo=strada-freedom-cd-1.3-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1366350-m.jpg?0,Strada
AC_08cefb5562,Strada Freedom CD 1.3 Flex,Ano: 2023/2024 • 85.000 KM,in stock,used,102900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGJJHN&veiculo=strada-freedom-cd-1.3-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/04/1346527-m.jpg?30042026153221,Strada
AC_c74e54f777,Taos Highline 250 TSI 1.4 AutomÃ¡tico Flex,Ano: 2021/2022 • 66.000 KM,in stock,used,129000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIMGIP&veiculo=taos-highline-250-tsi-1.4-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1369239-m.jpg?0,Taos
AC_ce0d0e5ae0,Tera Highline 1.0 170 TSI 12V AutomÃ¡tico Flex 5P,Ano: 2025/2026 • 9.591 KM,in stock,used,132900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEJEMFM&veiculo=tera-highline-1.0-170-tsi-12v-automatico-flex-5p,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1371806-m.jpg?0,Tera
AC_7be3766f81,Toro Freedom 1.8 AutomÃ¡tico Flex,Ano: 2018/2019 • 109.516 KM,in stock,used,89900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGMNJP&veiculo=toro-freedom-1.8-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1349949-m.jpg?18062026115359,Toro
AC_ce1837f393,Tracker Premier 1.2 Turbo AutomÃ¡tico Flex,Ano: 2020/2021 • 60.000 KM,in stock,used,99990.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIIEFJ&veiculo=tracker-premier-1.2-turbo-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1365003-m.jpg?0,Tracker
AC_4f9ed43945,Versa Advance 1.6 AutomÃ¡tico Flex,Ano: 2021/2022 • 21.923 KM,in stock,used,89900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHHJGH&veiculo=versa-advance-1.6-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1354511-m.jpg?16062026133711,Versa
AC_f4be8c4591,Volvo XC 40 T-4 Momentum 2.0 190CV FWD,Ano: 2020/2021 • 72.680 KM,in stock,used,152900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHHJHI&veiculo=volvo-xc-40-t-4-momentum-2.0-190cv-fwd,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1354522-m.jpg?27052026,Volvo
AC_e88a7e72de,Volvo XC 60 T-8 Ultimate 2.0 AWD HÃ­brido,Ano: 2023/2024 • 70.000 KM,in stock,used,304900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGGILH&veiculo=volvo-xc-60-t-8-ultimate-2.0-awd-hibrido,https://www.usadofacil.com.br/fotoscarrosano/2026/04/1343461-m.jpg?27072026171117,Volvo
AC_5e4ed0762e,Volvo XC 90 T-8 R-Design 2.0 HÃ­brido,Ano: 2022/2022 • 77.233 KM,in stock,used,299000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIGMGN&veiculo=volvo-xc-90-t-8-r-design-2.0-hibrido,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1363817-m.jpg?01072026,Volvo
